Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
200983546,E32,20041901,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:53:08 PM,04/07/2020 11:55:30 PM,04/07/2020 11:55:56 PM,04/07/2020 11:58:22 PM,04/08/2020 12:00:00 AM,,,Code 2 Transport,04/08/2020 12:15:40 AM,4000 Block of MISSION ST,San Francisco,94112,B06,32,5633,3,3,3,true,Non Life-threatening,1,ENGINE,1,6,9,Bernal Heights,"(37.73217458500619, -122.42779351441527)",200983546-E32
200983546,85,20041901,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:53:08 PM,04/07/2020 11:55:30 PM,04/07/2020 11:55:56 PM,04/07/2020 11:56:06 PM,04/08/2020 12:02:21 AM,04/08/2020 12:23:18 AM,04/08/2020 12:23:18 AM,Code 2 Transport,04/08/2020 01:35:00 AM,4000 Block of MISSION ST,San Francisco,94112,B06,32,5633,3,3,3,true,Non Life-threatening,1,MEDIC,2,6,9,Bernal Heights,"(37.73217458500619, -122.42779351441527)",200983546-85
200983545,QRV1,20041900,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:54:42 PM,04/07/2020 11:54:42 PM,04/07/2020 11:55:19 PM,04/07/2020 11:55:24 PM,04/07/2020 11:55:51 PM,,,No Merit,04/08/2020 12:00:36 AM,LARKIN ST/FULTON ST,San Francisco,94102,B02,36,1645,A,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,2,6,Tenderloin,"(37.77958443579076, -122.41676809410758)",200983545-QRV1
200983545,74,20041900,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:54:42 PM,04/07/2020 11:54:42 PM,04/07/2020 11:55:19 PM,04/07/2020 11:55:24 PM,04/08/2020 12:02:02 AM,,,No Merit,04/08/2020 12:02:18 AM,LARKIN ST/FULTON ST,San Francisco,94102,B02,36,1645,A,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Tenderloin,"(37.77958443579076, -122.41676809410758)",200983545-74
200983539,T11,20041899,Other,04/07/2020,04/07/2020,04/07/2020 11:50:31 PM,04/07/2020 11:50:31 PM,04/07/2020 11:51:27 PM,04/07/2020 11:53:41 PM,04/07/2020 11:59:56 PM,,,Fire,04/08/2020 12:21:26 AM,4000 Block of 19TH ST,San Francisco,94114,B06,06,5437,C,3,3,false,Alarm,1,TRUCK,1,6,8,Castro/Upper Market,"(37.75933503224665, -122.43318589960772)",200983539-T11
200983538,T06,20041898,Structure Fire,04/07/2020,04/07/2020,04/07/2020 11:50:27 PM,04/07/2020 11:50:27 PM,04/07/2020 11:51:00 PM,04/07/2020 11:52:16 PM,,,,Fire,04/07/2020 11:55:13 PM,17TH ST/DOLORES ST,San Francisco,94110,B02,06,5251,3,3,3,false,Alarm,1,TRUCK,2,2,8,Castro/Upper Market,"(37.76303087115498, -122.4262284796962)",200983538-T06
200983538,E06,20041898,Structure Fire,04/07/2020,04/07/2020,04/07/2020 11:50:27 PM,04/07/2020 11:50:27 PM,04/07/2020 11:51:00 PM,04/07/2020 11:52:18 PM,04/07/2020 11:54:54 PM,,,Fire,04/07/2020 11:55:17 PM,17TH ST/DOLORES ST,San Francisco,94110,B02,06,5251,3,3,3,true,Alarm,1,ENGINE,1,2,8,Castro/Upper Market,"(37.76303087115498, -122.4262284796962)",200983538-E06
200983537,T02,20041897,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:49:32 PM,04/07/2020 11:50:11 PM,04/07/2020 11:50:27 PM,04/07/2020 11:51:33 PM,,,,No Merit,04/07/2020 11:57:34 PM,1600 Block of PACIFIC AVE,San Francisco,94109,B04,41,3125,3,3,3,false,Potentially Life-Threatening,1,TRUCK,4,4,3,Russian Hill,"(37.79486812398222, -122.42239395532656)",200983537-T02
200983537,RC1,20041897,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:49:32 PM,04/07/2020 11:50:11 PM,04/07/2020 11:50:27 PM,04/07/2020 11:51:30 PM,04/07/2020 11:55:41 PM,,,No Merit,04/07/2020 11:57:30 PM,1600 Block of PACIFIC AVE,San Francisco,94109,B04,41,3125,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,4,3,Russian Hill,"(37.79486812398222, -122.42239395532656)",200983537-RC1
200983537,E41,20041897,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:49:32 PM,04/07/2020 11:50:11 PM,04/07/2020 11:50:27 PM,04/07/2020 11:52:09 PM,04/07/2020 11:54:29 PM,,,No Merit,04/07/2020 11:58:17 PM,1600 Block of PACIFIC AVE,San Francisco,94109,B04,41,3125,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,4,3,Russian Hill,"(37.79486812398222, -122.42239395532656)",200983537-E41
